team_id,name,short_name,abbreviation,nickname,mascot,color,alternate_color,logo,conference_id,location,venue_id,venue_name
7,Amherst Mammoths,Amherst,AMH,Amherst,Mammoths,3f1f69,ffffff,,,Amherst,,
15,Anna Maria College Amcats,Anna Maria,ANN,Anna Maria,Amcats,000000,,,,Anna Maria College,,
9,Arizona State Sun Devils,Arizona St,ASU,Arizona St,Sun Devils,8e0c3a,ffc72c,,,Arizona State,,
12,Arizona Wildcats,Arizona,ARIZ,Arizona,Wildcats,0c234b,ab0520,,,Arizona,,
8,Arkansas Razorbacks,Arkansas,ARK,Arkansas,Razorbacks,a41f35,ffffff,,,Arkansas,,
2,Auburn Tigers,Auburn,AUB,Auburn,Tigers,002b5c,f26522,,,Auburn,,
68,Boise State Broncos,Boise St,BOIS,Boise St,Broncos,0033a0,fa4616,,,Boise State,,
18,Bridgewater State Bears,Bridgewater St,BRST,Bridgewater St,Bears,bf2f38,000000,,,Bridgewater State,,
63,Buena Vista Beavers,Buena Vista,BUENA,Buena Vista,Beavers,feba12,001440,,,Buena Vista,,
13,Cal Poly Mustangs,Cal Poly,CP,Cal Poly,Mustangs,1E4D2B,eed897,,,Cal Poly,,
25,California Golden Bears,California,CAL,California,Golden Bears,031522,ffc423,,,California,,
32,Carroll University (WI) Pioneers,Carroll WI,CAR,Carroll WI,Pioneers,000000,,,,Carroll University (WI),,
17,Claremont-Mudd-Scripps College Stags,Claremont-M-S,CLA,Claremont-M-S,Stags,981a31,feba15,,,Claremont-Mudd-Scripps College,,
33,Colby College White Mules,Colby,COLBY,Colby,White Mules,012778,ffffff,,,Colby College,,
38,Colorado Buffaloes,Colorado,COLO,Colorado,Buffaloes,000000,cfb87c,,,Colorado,,
11,Colorado Mesa Mavericks,Colo Mesa,MESA,Colo Mesa,Mavericks,000000,,,,Colorado Mesa,,
36,Colorado State Rams,Colorado St,CSU,Colorado St,Rams,1e4d2b,c8c372,,,Colorado State,,
40,Curry College Colonels,Curry,CUR,Curry,Colonels,65448b,ffffff,,,Curry College,,
48,Delaware Blue Hens,Delaware,DEL,Delaware,Blue Hens,033594,e8ce31,,,Delaware,,
49,Dubuque Spartans,Dubuque,DUB,Dubuque,Spartans,000000,,,,Dubuque,,
72,Elmhurst Bluejays,Elmhurst,ELM,Elmhurst,Bluejays,000000,,,,Elmhurst,,
50,Florida A&M Rattlers,Florida A&M,FAMU,Florida A&M,Rattlers,F89728,00843d,,,Florida A&M,,
57,Florida Gators,Florida,FLA,Florida,Gators,0021a5,fa4616,,,Florida,,
52,Florida State Seminoles,Florida St,FSU,Florida St,Seminoles,782f40,ceb888,,,Florida State,,
46,Georgetown Hoyas,Georgetown,GTWN,Georgetown,Hoyas,110E42,001c58,,,Georgetown,,
61,Georgia Bulldogs,Georgia,UGA,Georgia,Bulldogs,ba0c2f,ffffff,,,Georgia,,
59,Georgia Tech Yellow Jackets,Georgia Tech,GT,Georgia Tech,Yellow Jackets,003057,b3a369,,,Georgia Tech,,
65,Grinnell Pioneers,Grinnell,GRI,Grinnell,Pioneers,000000,,,,Grinnell,,
62,Hawai'i Rainbow Warriors,Hawai’i,HAW,Hawai’i,Rainbow Warriors,003420,ffffff,,,Hawai'i,,
47,Howard Bison,Howard,HOW,Howard,Bison,003a63,e51937,,,Howard,,
70,Idaho Vandals,Idaho,IDHO,Idaho,Vandals,000000,8c6e4a,,,Idaho,,
66,Iowa State Cyclones,Iowa State,ISU,Iowa State,Cyclones,822433,fdca2f,,,Iowa State,,
55,Jacksonville State Gamecocks,Jax State,JXST,Jax State,Gamecocks,b50500,b5b7ba,,,Jacksonville State,,
67,Luther Norse,Luther,LUT,Luther,Norse,015a9c,a5bbda,,,Luther,,
74,Millikin Big Blue,Millikin,MIL,Millikin,Big Blue,000000,,,,Millikin,,
60,Morehouse College Maroon Tigers,Morehouse,MOR,Morehouse,Maroon Tigers,000000,,,,Morehouse College,,
75,North Park Vikings,North Park,NOR,North Park,Vikings,000000,,,,North Park,,
29,Redlands Bulldogs,Redlands,RED,Redlands,Bulldogs,751708,ffffff,,,Redlands,,
16,Sacramento State Hornets,Sacramento St,SAC,Sacramento St,Hornets,00573C,cdb97d,,,Sacramento State,,
21,San Diego State Aztecs,San Diego St,SDSU,San Diego St,Aztecs,c41230,000000,,,San Diego State,,
23,San José State Spartans,San José St,SJSU,San José St,Spartans,005893,fdba31,,,San José State,,
6,South Alabama Jaguars,South Alabama,USA,South Alabama,Jaguars,003E7E,,,,South Alabama,,
58,South Florida Bulls,South Florida,USF,South Florida,Bulls,004A36,231f20,,,South Florida,,
24,Stanford Cardinal,Stanford,STAN,Stanford,Cardinal,8c1515,ffffff,,,Stanford,,
56,Stetson Hatters,Stetson,STET,Stetson,Hatters,0a5640,56854e,,,Stetson,,
5,UAB Blazers,UAB,UAB,UAB,Blazers,003b28,ffc845,,,UAB,,
26,UCLA Bruins,UCLA,UCLA,UCLA,Bruins,2774ae,f2a900,,,UCLA,,
41,UConn Huskies,UConn,CONN,UConn,Huskies,0c2340,f1f2f3,,,UConn,,
30,USC Trojans,USC,USC,USC,Trojans,9e2237,ffcc00,,,USC,,
43,Yale Bulldogs,Yale,YALE,Yale,Bulldogs,004a81,286dc0,,,Yale,,
7,Amherst Mammoths,Amherst,AMH,Amherst,Mammoths,3f1f69,ffffff,,,Amherst,,
15,Anna Maria College Amcats,Anna Maria,ANN,Anna Maria,Amcats,000000,,,,Anna Maria College,,
9,Arizona State Sun Devils,Arizona St,ASU,Arizona St,Sun Devils,8e0c3a,ffc72c,,,Arizona State,,
12,Arizona Wildcats,Arizona,ARIZ,Arizona,Wildcats,0c234b,ab0520,,,Arizona,,
8,Arkansas Razorbacks,Arkansas,ARK,Arkansas,Razorbacks,a41f35,ffffff,,,Arkansas,,
2,Auburn Tigers,Auburn,AUB,Auburn,Tigers,002b5c,f26522,,,Auburn,,
68,Boise State Broncos,Boise St,BOIS,Boise St,Broncos,0033a0,fa4616,,,Boise State,,
18,Bridgewater State Bears,Bridgewater St,BRST,Bridgewater St,Bears,bf2f38,000000,,,Bridgewater State,,
63,Buena Vista Beavers,Buena Vista,BUENA,Buena Vista,Beavers,feba12,001440,,,Buena Vista,,
13,Cal Poly Mustangs,Cal Poly,CP,Cal Poly,Mustangs,1E4D2B,eed897,,,Cal Poly,,
25,California Golden Bears,California,CAL,California,Golden Bears,031522,ffc423,,,California,,
32,Carroll University (WI) Pioneers,Carroll WI,CAR,Carroll WI,Pioneers,000000,,,,Carroll University (WI),,
17,Claremont-Mudd-Scripps College Stags,Claremont-M-S,CLA,Claremont-M-S,Stags,981a31,feba15,,,Claremont-Mudd-Scripps College,,
33,Colby College White Mules,Colby,COLBY,Colby,White Mules,012778,ffffff,,,Colby College,,
38,Colorado Buffaloes,Colorado,COLO,Colorado,Buffaloes,000000,cfb87c,,,Colorado,,
11,Colorado Mesa Mavericks,Colo Mesa,MESA,Colo Mesa,Mavericks,000000,,,,Colorado Mesa,,
36,Colorado State Rams,Colorado St,CSU,Colorado St,Rams,1e4d2b,c8c372,,,Colorado State,,
40,Curry College Colonels,Curry,CUR,Curry,Colonels,65448b,ffffff,,,Curry College,,
48,Delaware Blue Hens,Delaware,DEL,Delaware,Blue Hens,033594,e8ce31,,,Delaware,,
49,Dubuque Spartans,Dubuque,DUB,Dubuque,Spartans,000000,,,,Dubuque,,
72,Elmhurst Bluejays,Elmhurst,ELM,Elmhurst,Bluejays,000000,,,,Elmhurst,,
50,Florida A&M Rattlers,Florida A&M,FAMU,Florida A&M,Rattlers,F89728,00843d,,,Florida A&M,,
